GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1580000US0644000037120300,0644000037120300,"Census Tract 1203, Los Angeles County (part), Los Angeles city, California",5531
1580000US0644000037120400,0644000037120400,"Census Tract 1204, Los Angeles County (part), Los Angeles city, California",6272
1580000US0644000037121010,0644000037121010,"Census Tract 1210.10, Los Angeles County (part), Los Angeles city, California",4989
1580000US0644000037121020,0644000037121020,"Census Tract 1210.20, Los Angeles County (part), Los Angeles city, California",3741
1580000US0644000037121101,0644000037121101,"Census Tract 1211.01, Los Angeles County (part), Los Angeles city, California",2932
1580000US0644000037121102,0644000037121102,"Census Tract 1211.02, Los Angeles County (part), Los Angeles city, California",2721
1580000US0644000037121210,0644000037121210,"Census Tract 1212.10, Los Angeles County (part), Los Angeles city, California",3122
1580000US0644000037121221,0644000037121221,"Census Tract 1212.21, Los Angeles County (part), Los Angeles city, California",2365
1580000US0644000037121222,0644000037121222,"Census Tract 1212.22, Los Angeles County (part), Los Angeles city, California",5293
1580000US0644000037121600,0644000037121600,"Census Tract 1216, Los Angeles County (part), Los Angeles city, California",3005
1580000US0644000037121801,0644000037121801,"Census Tract 1218.01, Los Angeles County (part), Los Angeles city, California",3942
1580000US0644000037121802,0644000037121802,"Census Tract 1218.02, Los Angeles County (part), Los Angeles city, California",3525
1580000US0644000037121900,0644000037121900,"Census Tract 1219, Los Angeles County (part), Los Angeles city, California",4110
1580000US0644000037122000,0644000037122000,"Census Tract 1220, Los Angeles County (part), Los Angeles city, California",5446
1580000US0644000037122120,0644000037122120,"Census Tract 1221.20, Los Angeles County (part), Los Angeles city, California",5000
1580000US0644000037122121,0644000037122121,"Census Tract 1221.21, Los Angeles County (part), Los Angeles city, California",2833
1580000US0644000037122122,0644000037122122,"Census Tract 1221.22, Los Angeles County (part), Los Angeles city, California",2439
1580000US0644000037122200,0644000037122200,"Census Tract 1222, Los Angeles County (part), Los Angeles city, California",4141
1580000US0644000037122410,0644000037122410,"Census Tract 1224.10, Los Angeles County (part), Los Angeles city, California",3794
1580000US0644000037122420,0644000037122420,"Census Tract 1224.20, Los Angeles County (part), Los Angeles city, California",5050
1580000US0644000037123010,0644000037123010,"Census Tract 1230.10, Los Angeles County (part), Los Angeles city, California",4580
1580000US0644000037123020,0644000037123020,"Census Tract 1230.20, Los Angeles County (part), Los Angeles city, California",3432
1580000US0644000037123103,0644000037123103,"Census Tract 1231.03 (part), Los Angeles County (part), Los Angeles city, California",4165
1580000US0644000037123104,0644000037123104,"Census Tract 1231.04, Los Angeles County (part), Los Angeles city, California",4596
1580000US0644000037123203,0644000037123203,"Census Tract 1232.03, Los Angeles County (part), Los Angeles city, California",3765
1580000US0644000037123204,0644000037123204,"Census Tract 1232.04, Los Angeles County (part), Los Angeles city, California",3449
1580000US0644000037123205,0644000037123205,"Census Tract 1232.05, Los Angeles County (part), Los Angeles city, California",2645
1580000US0644000037123206,0644000037123206,"Census Tract 1232.06, Los Angeles County (part), Los Angeles city, California",2945
1580000US0644000037123301,0644000037123301,"Census Tract 1233.01, Los Angeles County (part), Los Angeles city, California",4559
1580000US0644000037123303,0644000037123303,"Census Tract 1233.03, Los Angeles County (part), Los Angeles city, California",3301
